repo_name,repo_url,primary_language,readme_exists,licence,contributing_guide,has_security_scanning_in_ci,has_tests_in_ci,dependency_update_policy,last_commit_date,days_since_last_commit,maintained,open_issues_count,bilingual,readme_clarity,security_policy,issue_response_quality,release_notes_quality,standards_met,compliance_status,gaps
Open_First_Whitepaper,https://github.com/canada-ca/Open_First_Whitepaper,JavaScript,Yes,OGL-Canada,No,No,No,Automated,2023-09-06,1041,No,13,Yes,Good,Present,Stale,No Releases,3,Partial,Contributing guide;Actively maintained
PCO-Public-Opinion-Research__Recherche-en-opinion-publique--BCP,https://github.com/canada-ca/PCO-Public-Opinion-Research__Recherche-en-opinion-publique--BCP,Unknown,Yes,MIT,Yes,No CI,No CI,None,2018-03-18,3039,No,3,No,Good,Missing,Stale,Detailed,2,Partial,Bilingual README;Security policy;Actively maintained
PCTF-CCP,https://github.com/canada-ca/PCTF-CCP,CSS,Yes,OGL-Canada,Yes,No CI,No CI,Manual,2026-05-08,66,Yes,4,No,Good,Present,Stale,No Releases,4,Partial,Bilingual README
TBS-OCIO-ESP,https://github.com/canada-ca/TBS-OCIO-ESP,HTML,Yes,Unknown,No,No CI,No CI,None,2026-06-12,31,Yes,24,Yes,Poor,Missing,Stale,No Releases,2,Partial,Open licence;Security policy;Contributing guide
a11y,https://github.com/canada-ca/a11y,HTML,Yes,MIT,Yes,No CI,No CI,None,2021-05-19,1881,No,3,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
accelerators_accelerateurs-aws,https://github.com/canada-ca/accelerators_accelerateurs-aws,Unknown,Yes,MIT,Yes,No CI,No CI,None,2020-12-31,2020,No,0,Yes,Good,Present,No Issues,No Releases,4,Partial,Actively maintained
accelerators_accelerateurs-azure,https://github.com/canada-ca/accelerators_accelerateurs-azure,PowerShell,Yes,MIT,Yes,No CI,No CI,None,2022-04-21,1544,No,2,Yes,Fair,Present,Unknown,Unknown,4,Partial,Actively maintained
accelerators_accelerateurs-gcp,https://github.com/canada-ca/accelerators_accelerateurs-gcp,HCL,Yes,MIT,Yes,No CI,No CI,None,2023-03-31,1200,No,53,No,Good,Present,Stale,No Releases,3,Partial,Bilingual README;Actively maintained
aia-eia,https://github.com/canada-ca/aia-eia,HTML,Yes,MIT,Yes,No CI,No CI,None,2019-04-03,2658,No,6,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
aia-eia-js,https://github.com/canada-ca/aia-eia-js,Vue,Yes,MIT,Yes,No,Yes,Automated,2025-09-10,306,Yes,29,Yes,Good,Present,Stale,Detailed,5,Full,
aia-eia-js2,https://github.com/canada-ca/aia-eia-js2,HTML,No,MIT,No,No CI,No CI,None,2019-03-26,2666,No,0,No,Poor,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
aia-eia-net,https://github.com/canada-ca/aia-eia-net,JavaScript,Yes,MIT,Yes,No CI,No CI,None,2019-06-14,2586,No,0,Yes,Good,Missing,No Issues,No Releases,3,Partial,Security policy;Actively maintained
alexapoc-ccbpaymentdates,https://github.com/canada-ca/alexapoc-ccbpaymentdates,JavaScript,Yes,MIT,No,No CI,No CI,None,2020-09-11,2131,No,0,No,Poor,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
alexapoc-healthcanada-recalls,https://github.com/canada-ca/alexapoc-healthcanada-recalls,JavaScript,Yes,MIT,No,No CI,No CI,None,2018-07-27,2908,No,0,No,Good,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
alexapoc-vdpalexa,https://github.com/canada-ca/alexapoc-vdpalexa,Unknown,Yes,Unknown,No,No CI,No CI,None,2018-07-27,2908,No,0,Yes,Poor,Missing,No Issues,No Releases,1,Non-compliant,Open licence;Security policy;Contributing guide;Actively maintained
alexapoc-vrdb,https://github.com/canada-ca/alexapoc-vrdb,JavaScript,No,MIT,No,No CI,No CI,None,2018-08-01,2903,No,0,No,Unknown,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
architecture,https://github.com/canada-ca/architecture,JavaScript,Yes,MIT,No,No CI,No CI,Manual,2022-12-21,1300,No,8,No,Good,Present,Stale,No Releases,2,Partial,Bilingual README;Contributing guide;Actively maintained
blog-dto,https://github.com/canada-ca/blog-dto,HTML,Yes,Unknown,No,No CI,No CI,None,2021-04-30,1900,No,0,No,Poor,Missing,No Issues,No Releases,0,Non-compliant,Bilingual README;Open licence;Security policy;Contributing guide;Actively maintained
blogue-btn,https://github.com/canada-ca/blogue-btn,HTML,Yes,Unknown,No,No CI,No CI,None,2021-04-30,1900,No,0,No,Poor,Missing,No Issues,No Releases,0,Non-compliant,Bilingual README;Open licence;Security policy;Contributing guide;Actively maintained
blogue-canada-ca-blog,https://github.com/canada-ca/blogue-canada-ca-blog,Ruby,Yes,MIT,Yes,No,No,Automated,2026-06-19,24,Yes,16,Yes,Good,Present,Stale,Detailed,5,Full,
caf-tg,https://github.com/canada-ca/caf-tg,Unknown,Yes,MIT,No,No CI,No CI,None,2022-05-19,1516,No,0,No,Poor,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
canada-bot,https://github.com/canada-ca/canada-bot,JavaScript,Yes,MIT,No,No CI,No CI,Automated,2022-01-13,1642,No,1,No,Good,Missing,Stale,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
canada-ca-jekyll-boilerplate,https://github.com/canada-ca/canada-ca-jekyll-boilerplate,HTML,Yes,MIT,Yes,No CI,No CI,Automated,2020-11-04,2077,No,2,Yes,Good,Incomplete,Stale,No Releases,3,Partial,Security policy;Actively maintained
canada-ca.github.io,https://github.com/canada-ca/canada-ca.github.io,HTML,Yes,Unknown,No,No CI,No CI,None,2021-06-09,1860,No,15,No,Poor,Missing,Stale,No Releases,0,Non-compliant,Bilingual README;Open licence;Security policy;Contributing guide;Actively maintained
ckanext-canada,https://github.com/canada-ca/ckanext-canada,HTML,Yes,MIT,No,No CI,No CI,None,2020-10-23,2089,No,0,Yes,Good,Missing,No Issues,No Releases,2,Partial,Security policy;Contributing guide;Actively maintained
cloud-guardrails,https://github.com/canada-ca/cloud-guardrails,JavaScript,Yes,MIT,Yes,No CI,No CI,Automated,2024-12-12,578,No,11,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
cloud-guardrails-O365,https://github.com/canada-ca/cloud-guardrails-O365,JavaScript,Yes,MIT,Yes,No,No,Automated,2025-05-30,409,No,4,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
cloud-guardrails-aws,https://github.com/canada-ca/cloud-guardrails-aws,Shell,Yes,MIT,Yes,No CI,No CI,None,2020-01-08,2378,No,2,Yes,Fair,Present,Stale,No Releases,4,Partial,Actively maintained
cloud-guardrails-azure,https://github.com/canada-ca/cloud-guardrails-azure,PowerShell,Yes,MIT,Yes,No CI,No CI,None,2023-05-02,1168,No,4,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
cloud-guardrails-gcp,https://github.com/canada-ca/cloud-guardrails-gcp,Open Policy Agent,Yes,MIT,No,No CI,No CI,None,2023-05-19,1151,No,6,No,Good,Missing,Stale,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
cloud-guardrails-ibm,https://github.com/canada-ca/cloud-guardrails-ibm,JavaScript,Yes,MIT,No,No CI,No CI,None,2023-06-05,1134,No,0,No,Fair,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
cloud-guardrails-oracle,https://github.com/canada-ca/cloud-guardrails-oracle,Unknown,Yes,MIT,Yes,No CI,No CI,None,2022-05-19,1516,No,0,Yes,Good,Present,No Issues,No Releases,4,Partial,Actively maintained
commons,https://github.com/canada-ca/commons,JavaScript,Yes,MIT,No,No CI,No CI,None,2017-11-22,3155,No,2,No,Fair,Missing,Stale,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
content-analysis,https://github.com/canada-ca/content-analysis,Python,Yes,Unknown,No,No CI,No CI,None,2018-04-24,3002,No,0,Yes,Good,Missing,No Issues,No Releases,1,Non-compliant,Open licence;Security policy;Contributing guide;Actively maintained
cyber-security-reference-architecture,https://github.com/canada-ca/cyber-security-reference-architecture,HTML,Yes,MIT,No,No CI,No CI,None,2025-03-07,493,No,0,Yes,Poor,Missing,No Issues,No Releases,2,Partial,Security policy;Contributing guide;Actively maintained
design-system,https://github.com/canada-ca/design-system,HTML,Yes,Unknown,Yes,No,No,Automated,2026-07-09,4,Yes,23,No,Poor,Missing,Active,No Releases,2,Partial,Bilingual README;Open licence;Security policy
design-system-systeme-conception,https://github.com/canada-ca/design-system-systeme-conception,HTML,Yes,MIT,Yes,No,No,Automated,2022-04-03,1562,No,75,Yes,Fair,Present,Stale,No Releases,4,Partial,Actively maintained
devex,https://github.com/canada-ca/devex,JavaScript,Yes,Apache-2.0,Yes,No CI,No CI,None,2018-08-03,2901,No,30,No,Good,Missing,Stale,No Releases,2,Partial,Bilingual README;Security policy;Actively maintained
digital-playbook-guide-numerique,https://github.com/canada-ca/digital-playbook-guide-numerique,HTML,Yes,OGL-Canada,Yes,No CI,No CI,Automated,2021-03-06,1955,No,19,Yes,Good,Missing,Stale,No Releases,3,Partial,Security policy;Actively maintained
digital-standards-self-assessment,https://github.com/canada-ca/digital-standards-self-assessment,TypeScript,Yes,MIT,No,No,Yes,None,2022-09-17,1395,No,3,No,Good,Present,Stale,No Releases,2,Partial,Bilingual README;Contributing guide;Actively maintained
dmarc-report-api,https://github.com/canada-ca/dmarc-report-api,JavaScript,Yes,MIT,Yes,No CI,No CI,Automated,2021-01-05,2015,No,0,Yes,Good,Incomplete,No Issues,No Releases,3,Partial,Security policy;Actively maintained
fondations-github-foundations,https://github.com/canada-ca/fondations-github-foundations,Go,Yes,MIT,Yes,No,Yes,None,2024-09-24,657,No,0,Yes,Good,Present,No Issues,Detailed,4,Partial,Actively maintained
footer-specs-updates,https://github.com/canada-ca/footer-specs-updates,HTML,Yes,Unknown,Yes,No CI,No CI,Automated,2023-06-08,1131,No,0,No,Fair,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Open licence;Security policy;Actively maintained
gc-icam_gija-gc,https://github.com/canada-ca/gc-icam_gija-gc,Vue,Yes,MIT,No,No,Yes,Manual,2025-12-02,223,Yes,9,Yes,Fair,Present,Stale,No Releases,4,Partial,Contributing guide
gcdigital-tools_outils-numeriquesgc,https://github.com/canada-ca/gcdigital-tools_outils-numeriquesgc,HTML,Yes,MIT,Yes,No,No,None,2025-03-20,480,No,1,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
guardrails-ransomware-prevention_mesures-de-protection-rancongiciels,https://github.com/canada-ca/guardrails-ransomware-prevention_mesures-de-protection-rancongiciels,Unknown,Yes,MIT,Yes,No CI,No CI,Manual,2022-05-27,1508,No,0,Yes,Good,Present,No Issues,No Releases,4,Partial,Actively maintained
micro-acquisition,https://github.com/canada-ca/micro-acquisition,Unknown,Yes,MIT,Yes,No,No,Automated,2022-05-05,1530,No,6,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
navigator,https://github.com/canada-ca/navigator,Elixir,Yes,MIT,No,No,Yes,Manual,2026-06-22,21,Yes,11,Yes,Good,Missing,Stale,No Releases,3,Partial,Security policy;Contributing guide
ofd-joep,https://github.com/canada-ca/ofd-joep,HTML,Yes,OGL-Canada,No,No CI,No CI,Manual,2020-03-27,2299,No,1,Yes,Poor,Missing,Stale,No Releases,2,Partial,Security policy;Contributing guide;Actively maintained
open-caf-tg,https://github.com/canada-ca/open-caf-tg,HTML,Yes,Crown Copyright,No,No CI,No CI,None,2023-04-13,1187,No,0,No,Poor,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
open-source-logiciel-libre,https://github.com/canada-ca/open-source-logiciel-libre,HTML,Yes,OGL-Canada,Yes,No,No,Automated,2026-07-05,8,Yes,27,Yes,Good,Missing,Stale,No Releases,4,Partial,Security policy
open-standards-normes-ouvertes,https://github.com/canada-ca/open-standards-normes-ouvertes,HTML,Yes,OGL-Canada,Yes,No CI,No CI,Automated,2022-11-28,1323,No,1,Yes,Fair,Missing,Stale,No Releases,3,Partial,Security policy;Actively maintained
ore-ero,https://github.com/canada-ca/ore-ero,HTML,Yes,MIT,Yes,No,No,Automated,2026-07-02,11,Yes,40,Yes,Good,Missing,Stale,No Releases,4,Partial,Security policy
ore-ero-bot,https://github.com/canada-ca/ore-ero-bot,TypeScript,Yes,MIT,No,No CI,No CI,Manual,2025-11-28,227,Yes,Unknown,No,Good,Missing,No Issues,No Releases,2,Partial,Bilingual README;Security policy;Contributing guide
ore-ero-fr,https://github.com/canada-ca/ore-ero-fr,HTML,Yes,MIT,Yes,No,No,None,2026-07-02,11,Yes,0,Yes,Good,Missing,No Issues,No Releases,4,Partial,Security policy
platform-security_securite-de-plateforme,https://github.com/canada-ca/platform-security_securite-de-plateforme,Ruby,Yes,MIT,Yes,No,No,Automated,2025-10-20,266,Yes,3,Yes,Good,Present,Stale,No Releases,5,Full,
regs-consult-wet,https://github.com/canada-ca/regs-consult-wet,JavaScript,Yes,MIT,No,No CI,No CI,None,2020-03-19,2307,No,1,No,Good,Missing,Stale,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
sign-in-canada_authenti-canada,https://github.com/canada-ca/sign-in-canada_authenti-canada,HTML,Yes,MIT,Yes,No,No,Manual,2026-07-05,8,Yes,0,Yes,Good,Present,No Issues,No Releases,5,Full,
systeme-conception,https://github.com/canada-ca/systeme-conception,HTML,Yes,Unknown,Yes,No,No,Automated,2026-07-09,4,Yes,10,No,Fair,Missing,Stale,No Releases,2,Partial,Bilingual README;Open licence;Security policy
tech_oversight-surveillance_tech,https://github.com/canada-ca/tech_oversight-surveillance_tech,Unknown,No,Unknown,No,No CI,No CI,None,Unknown,Unknown,Unknown,0,Unknown,Unknown,Missing,No Issues,No Releases,0,Non-compliant,Bilingual README;Open licence;Security policy;Contributing guide;Actively maintained
template-gabarit,https://github.com/canada-ca/template-gabarit,JavaScript,Yes,MIT,Yes,No,No,Automated,2026-07-05,8,Yes,5,Yes,Fair,Incomplete,Stale,No Releases,4,Partial,Security policy
tracker,https://github.com/canada-ca/tracker,JavaScript,Yes,Unknown,Yes,Yes,No,Automated,2026-07-13,0,Yes,31,No,Good,Present,Stale,Detailed,3,Partial,Bilingual README;Open licence
ucvdcc,https://github.com/canada-ca/ucvdcc,HTML,Yes,OGL-Canada,Yes,No CI,No CI,Manual,2023-02-28,1231,No,1,No,Good,Present,Stale,No Releases,3,Partial,Bilingual README;Actively maintained
welcome,https://github.com/canada-ca/welcome,Unknown,Yes,OGL-Canada,Yes,No CI,No CI,None,2022-04-19,1546,No,7,Yes,Good,Present,Stale,No Releases,4,Partial,Actively maintained
